id,organization_id,name,description,category,region_scope,country,province_state,funding_min,funding_max,currency,deadline_date,ongoing_flag,language,team_scope,source_url,external_id,created_at,updated_at
1,1,"Funding programs for jobs, training and social development projects","Due to the labour disruption at Canada Post, mail correspondence from some programs and services may be impacted. Consult the measures in place during thedisruption of Canada Post services.",,National,Canada,,,,CAD,,1,EN,National,https://www.canada.ca/en/employment-social-development/services/funding.html,https://www.canada.ca/en/employment-social-development/services/funding.html,2025-11-20 01:19:16,2025-11-20 01:19:16
2,1,Grants and contributions online services: User guide (Account registration and account management),,,National,Canada,,,,CAD,,1,EN,National,https://www.canada.ca/en/employment-social-development/services/funding/gcos/userguide/register-account.html,https://www.canada.ca/en/employment-social-development/services/funding/gcos/userguide/register-account.html,2025-11-20 01:19:18,2025-11-20 01:19:18
3,1,Register for Grants and Contributions Online Services,The Grants and Contributions Online Services (GCOS) is the accessible online funding portal of Employment and Social Development Canada (ESDC).,,National,Canada,,,,CAD,,1,EN,National,https://www.canada.ca/en/employment-social-development/services/funding/gcos/register.html,https://www.canada.ca/en/employment-social-development/services/funding/gcos/register.html,2025-11-20 01:19:20,2025-11-20 01:19:20
